week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
9/10/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,4,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
9/10/2016,3,cheap thrills,Sia Featuring Sean Paul,2,1,28,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
9/10/2016,8,one dance,Drake Featuring WizKid & Kyla,7,1,21,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
9/10/2016,12,can't stop the feeling!,Justin Timberlake,9,1,16,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
9/10/2016,39,work,Rihanna Featuring Drake,38,1,31,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
9/17/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,5,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
9/17/2016,4,cheap thrills,Sia Featuring Sean Paul,3,1,29,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
9/17/2016,9,one dance,Drake Featuring WizKid & Kyla,8,1,22,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
9/17/2016,14,can't stop the feeling!,Justin Timberlake,12,1,17,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
9/17/2016,35,work,Rihanna Featuring Drake,39,1,32,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
9/24/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,6,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
9/24/2016,4,cheap thrills,Sia Featuring Sean Paul,4,1,30,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
9/24/2016,11,one dance,Drake Featuring WizKid & Kyla,9,1,23,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
9/24/2016,16,can't stop the feeling!,Justin Timberlake,14,1,18,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
9/24/2016,38,work,Rihanna Featuring Drake,35,1,33,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
10/1/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,7,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
10/1/2016,4,cheap thrills,Sia Featuring Sean Paul,4,1,31,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
10/1/2016,14,one dance,Drake Featuring WizKid & Kyla,11,1,24,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
10/1/2016,18,can't stop the feeling!,Justin Timberlake,16,1,19,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
10/1/2016,41,work,Rihanna Featuring Drake,38,1,34,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
10/8/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,8,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
10/8/2016,5,cheap thrills,Sia Featuring Sean Paul,4,1,32,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
10/8/2016,14,one dance,Drake Featuring WizKid & Kyla,14,1,25,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
10/8/2016,17,can't stop the feeling!,Justin Timberlake,18,1,20,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
10/8/2016,41,work,Rihanna Featuring Drake,41,1,35,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
10/15/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,9,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
10/15/2016,7,cheap thrills,Sia Featuring Sean Paul,5,1,33,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
10/15/2016,14,one dance,Drake Featuring WizKid & Kyla,14,1,26,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
10/15/2016,20,can't stop the feeling!,Justin Timberlake,17,1,21,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
10/15/2016,45,work,Rihanna Featuring Drake,41,1,36,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
10/22/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,10,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
10/22/2016,8,cheap thrills,Sia Featuring Sean Paul,7,1,34,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
10/22/2016,16,one dance,Drake Featuring WizKid & Kyla,14,1,27,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
10/22/2016,23,can't stop the feeling!,Justin Timberlake,20,1,22,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
10/29/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,11,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
10/29/2016,9,cheap thrills,Sia Featuring Sean Paul,8,1,35,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
10/29/2016,17,one dance,Drake Featuring WizKid & Kyla,16,1,28,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
10/29/2016,22,can't stop the feeling!,Justin Timberlake,23,1,23,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
11/5/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,12,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
11/5/2016,12,cheap thrills,Sia Featuring Sean Paul,9,1,36,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
11/5/2016,19,can't stop the feeling!,Justin Timberlake,22,1,24,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
11/5/2016,23,one dance,Drake Featuring WizKid & Kyla,17,1,29,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
11/12/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,13,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
11/12/2016,12,cheap thrills,Sia Featuring Sean Paul,12,1,37,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
11/12/2016,21,can't stop the feeling!,Justin Timberlake,19,1,25,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
11/12/2016,23,one dance,Drake Featuring WizKid & Kyla,23,1,30,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
11/19/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,14,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
11/19/2016,15,cheap thrills,Sia Featuring Sean Paul,12,1,38,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
11/19/2016,22,can't stop the feeling!,Justin Timberlake,21,1,26,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
11/19/2016,30,one dance,Drake Featuring WizKid & Kyla,23,1,31,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
11/26/2016,2,closer,The Chainsmokers Featuring Halsey,1,1,15,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
11/26/2016,15,cheap thrills,Sia Featuring Sean Paul,15,1,39,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
11/26/2016,16,can't stop the feeling!,Justin Timberlake,22,1,27,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
11/26/2016,32,one dance,Drake Featuring WizKid & Kyla,30,1,32,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
12/3/2016,2,closer,The Chainsmokers Featuring Halsey,2,1,16,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
12/3/2016,18,can't stop the feeling!,Justin Timberlake,16,1,28,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
12/3/2016,19,cheap thrills,Sia Featuring Sean Paul,15,1,40,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
12/3/2016,33,one dance,Drake Featuring WizKid & Kyla,32,1,33,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
12/10/2016,2,closer,The Chainsmokers Featuring Halsey,2,1,17,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
12/10/2016,19,can't stop the feeling!,Justin Timberlake,18,1,29,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
12/10/2016,21,cheap thrills,Sia Featuring Sean Paul,19,1,41,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
12/10/2016,37,one dance,Drake Featuring WizKid & Kyla,33,1,34,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
12/17/2016,3,closer,The Chainsmokers Featuring Halsey,2,1,18,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
12/17/2016,24,cheap thrills,Sia Featuring Sean Paul,21,1,42,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
12/17/2016,25,can't stop the feeling!,Justin Timberlake,19,1,30,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
12/17/2016,45,one dance,Drake Featuring WizKid & Kyla,37,1,35,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
12/24/2016,3,closer,The Chainsmokers Featuring Halsey,3,1,19,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
12/24/2016,26,cheap thrills,Sia Featuring Sean Paul,24,1,43,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
12/24/2016,32,can't stop the feeling!,Justin Timberlake,25,1,31,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
12/24/2016,47,one dance,Drake Featuring WizKid & Kyla,45,1,36,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
12/31/2016,3,closer,The Chainsmokers Featuring Halsey,3,1,20,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
12/31/2016,39,can't stop the feeling!,Justin Timberlake,32,1,32,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
12/31/2016,41,cheap thrills,Sia Featuring Sean Paul,26,1,44,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
1/7/2017,3,closer,The Chainsmokers Featuring Halsey,3,1,21,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
1/7/2017,32,can't stop the feeling!,Justin Timberlake,39,1,33,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
1/7/2017,36,cheap thrills,Sia Featuring Sean Paul,41,1,45,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
1/14/2017,4,closer,The Chainsmokers Featuring Halsey,3,1,22,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
1/14/2017,25,can't stop the feeling!,Justin Timberlake,32,1,34,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
1/14/2017,30,cheap thrills,Sia Featuring Sean Paul,36,1,46,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
1/21/2017,3,closer,The Chainsmokers Featuring Halsey,4,1,23,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
1/21/2017,20,can't stop the feeling!,Justin Timberlake,25,1,35,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
1/21/2017,26,cheap thrills,Sia Featuring Sean Paul,30,1,47,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
1/28/2017,1,shape of you,Ed Sheeran,-,1,1,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
1/28/2017,5,closer,The Chainsmokers Featuring Halsey,3,1,24,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
1/28/2017,25,can't stop the feeling!,Justin Timberlake,20,1,36,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
1/28/2017,27,cheap thrills,Sia Featuring Sean Paul,26,1,48,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
2/4/2017,2,shape of you,Ed Sheeran,1,1,2,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
2/4/2017,4,closer,The Chainsmokers Featuring Halsey,5,1,25,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
2/4/2017,24,can't stop the feeling!,Justin Timberlake,25,1,37,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
2/4/2017,27,cheap thrills,Sia Featuring Sean Paul,27,1,49,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
2/4/2017,88,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,-,88,1,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
2/11/2017,2,shape of you,Ed Sheeran,2,1,3,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
2/11/2017,3,closer,The Chainsmokers Featuring Halsey,4,1,26,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
2/11/2017,23,can't stop the feeling!,Justin Timberlake,24,1,38,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
2/11/2017,27,cheap thrills,Sia Featuring Sean Paul,27,1,50,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
2/11/2017,77,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,88,77,2,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
2/18/2017,1,shape of you,Ed Sheeran,2,1,4,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
2/18/2017,5,closer,The Chainsmokers Featuring Halsey,3,1,27,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
2/18/2017,22,can't stop the feeling!,Justin Timberlake,23,1,39,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
2/18/2017,30,cheap thrills,Sia Featuring Sean Paul,27,1,51,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
2/18/2017,61,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,77,61,3,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
2/25/2017,1,shape of you,Ed Sheeran,1,1,5,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
2/25/2017,7,closer,The Chainsmokers Featuring Halsey,5,1,28,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
2/25/2017,25,can't stop the feeling!,Justin Timberlake,22,1,40,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
2/25/2017,32,cheap thrills,Sia Featuring Sean Paul,30,1,52,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
2/25/2017,61,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,61,61,4,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
3/4/2017,1,shape of you,Ed Sheeran,1,1,6,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
3/4/2017,5,closer,The Chainsmokers Featuring Halsey,7,1,29,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
3/4/2017,25,can't stop the feeling!,Justin Timberlake,25,1,41,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
3/4/2017,55,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,61,55,5,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
3/11/2017,1,shape of you,Ed Sheeran,1,1,7,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
3/11/2017,5,closer,The Chainsmokers Featuring Halsey,5,1,30,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
3/11/2017,29,can't stop the feeling!,Justin Timberlake,25,1,42,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
3/11/2017,59,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,55,55,6,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
3/18/2017,1,shape of you,Ed Sheeran,1,1,8,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
3/18/2017,10,closer,The Chainsmokers Featuring Halsey,5,1,31,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
3/18/2017,13,can't stop the feeling!,Justin Timberlake,29,1,43,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
3/18/2017,52,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,59,52,7,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
3/25/2017,1,shape of you,Ed Sheeran,1,1,9,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
3/25/2017,10,closer,The Chainsmokers Featuring Halsey,10,1,32,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
3/25/2017,24,can't stop the feeling!,Justin Timberlake,13,1,44,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
3/25/2017,56,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,52,52,8,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
4/1/2017,1,shape of you,Ed Sheeran,1,1,10,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
4/1/2017,13,closer,The Chainsmokers Featuring Halsey,10,1,33,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
4/1/2017,28,can't stop the feeling!,Justin Timberlake,24,1,45,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
4/1/2017,53,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,56,52,9,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
4/8/2017,1,shape of you,Ed Sheeran,1,1,11,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
4/8/2017,17,closer,The Chainsmokers Featuring Halsey,13,1,34,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
4/8/2017,33,can't stop the feeling!,Justin Timberlake,28,1,46,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
4/8/2017,52,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,53,52,10,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
4/15/2017,1,shape of you,Ed Sheeran,1,1,12,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
4/15/2017,20,closer,The Chainsmokers Featuring Halsey,17,1,35,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
4/15/2017,31,can't stop the feeling!,Justin Timberlake,33,1,47,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
4/15/2017,44,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,52,44,11,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
4/22/2017,1,shape of you,Ed Sheeran,1,1,13,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
4/22/2017,2,humble.,Kendrick Lamar,-,2,1,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
4/22/2017,21,closer,The Chainsmokers Featuring Halsey,20,1,36,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
4/22/2017,32,can't stop the feeling!,Justin Timberlake,31,1,48,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
4/22/2017,49,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,44,44,12,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
4/29/2017,1,shape of you,Ed Sheeran,1,1,14,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
4/29/2017,3,humble.,Kendrick Lamar,2,2,2,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
4/29/2017,23,closer,The Chainsmokers Featuring Halsey,21,1,37,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
4/29/2017,33,can't stop the feeling!,Justin Timberlake,32,1,49,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
4/29/2017,48,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,49,44,13,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
5/6/2017,1,humble.,Kendrick Lamar,3,1,3,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
5/6/2017,2,shape of you,Ed Sheeran,1,1,15,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
5/6/2017,9,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,48,9,14,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
5/6/2017,28,closer,The Chainsmokers Featuring Halsey,23,1,38,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
5/6/2017,47,can't stop the feeling!,Justin Timberlake,33,1,50,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
5/13/2017,2,shape of you,Ed Sheeran,2,1,16,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
5/13/2017,3,humble.,Kendrick Lamar,1,1,4,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
5/13/2017,4,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,9,4,15,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
5/13/2017,23,closer,The Chainsmokers Featuring Halsey,28,1,39,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
5/13/2017,38,can't stop the feeling!,Justin Timberlake,47,1,51,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
5/20/2017,3,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,4,3,16,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
5/20/2017,4,humble.,Kendrick Lamar,3,1,5,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
5/20/2017,5,shape of you,Ed Sheeran,2,1,17,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
5/20/2017,23,closer,The Chainsmokers Featuring Halsey,23,1,40,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
5/20/2017,39,can't stop the feeling!,Justin Timberlake,38,1,52,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
5/27/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,3,1,17,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
5/27/2017,4,shape of you,Ed Sheeran,5,1,18,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
5/27/2017,5,humble.,Kendrick Lamar,4,1,6,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
5/27/2017,25,closer,The Chainsmokers Featuring Halsey,23,1,41,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
6/3/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,18,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
6/3/2017,4,shape of you,Ed Sheeran,4,1,19,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
6/3/2017,5,humble.,Kendrick Lamar,5,1,7,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
6/3/2017,27,closer,The Chainsmokers Featuring Halsey,25,1,42,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
6/10/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,19,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
6/10/2017,4,humble.,Kendrick Lamar,5,1,8,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
6/10/2017,5,shape of you,Ed Sheeran,4,1,20,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
6/10/2017,32,closer,The Chainsmokers Featuring Halsey,27,1,43,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
6/17/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,20,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
6/17/2017,4,humble.,Kendrick Lamar,4,1,9,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
6/17/2017,5,shape of you,Ed Sheeran,5,1,21,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
6/17/2017,32,closer,The Chainsmokers Featuring Halsey,32,1,44,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
6/24/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,21,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
6/24/2017,4,shape of you,Ed Sheeran,5,1,22,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
6/24/2017,5,humble.,Kendrick Lamar,4,1,10,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
