week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
2/20/2016,3,sorry,Justin Bieber,2,1,15,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
2/20/2016,7,work,Rihanna Featuring Drake,9,7,2,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
2/20/2016,23,the hills,The Weeknd,21,1,37,the weeknd,,the weeknd_the hills,The Weeknd-the hills
2/20/2016,42,can't feel my face,The Weeknd,35,1,35,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
2/20/2016,45,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,48,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
2/27/2016,3,sorry,Justin Bieber,3,1,16,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
2/27/2016,4,work,Rihanna Featuring Drake,7,4,3,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
2/27/2016,25,the hills,The Weeknd,23,1,38,the weeknd,,the weeknd_the hills,The Weeknd-the hills
2/27/2016,42,can't feel my face,The Weeknd,42,1,36,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
2/27/2016,45,see you again,Wiz Khalifa Featuring Charlie Puth,45,1,49,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
3/5/2016,1,work,Rihanna Featuring Drake,4,1,4,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
3/5/2016,4,sorry,Justin Bieber,3,1,17,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
3/5/2016,22,uptown funk,Mark Ronson Featuring Bruno Mars,-,1,56,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
3/5/2016,27,the hills,The Weeknd,25,1,39,the weeknd,,the weeknd_the hills,The Weeknd-the hills
3/5/2016,32,can't feel my face,The Weeknd,42,1,37,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
3/5/2016,44,see you again,Wiz Khalifa Featuring Charlie Puth,45,1,50,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
3/5/2016,81,cheap thrills,Sia Featuring Sean Paul,-,81,1,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
3/12/2016,1,work,Rihanna Featuring Drake,1,1,5,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
3/12/2016,4,sorry,Justin Bieber,4,1,18,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
3/12/2016,22,the hills,The Weeknd,27,1,40,the weeknd,,the weeknd_the hills,The Weeknd-the hills
3/12/2016,38,can't feel my face,The Weeknd,32,1,38,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
3/12/2016,45,see you again,Wiz Khalifa Featuring Charlie Puth,44,1,51,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
3/12/2016,97,cheap thrills,Sia Featuring Sean Paul,81,81,2,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
3/19/2016,1,work,Rihanna Featuring Drake,1,1,6,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
3/19/2016,5,sorry,Justin Bieber,4,1,19,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
3/19/2016,21,the hills,The Weeknd,22,1,41,the weeknd,,the weeknd_the hills,The Weeknd-the hills
3/19/2016,39,can't feel my face,The Weeknd,38,1,39,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
3/19/2016,49,see you again,Wiz Khalifa Featuring Charlie Puth,45,1,52,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
3/19/2016,91,cheap thrills,Sia Featuring Sean Paul,97,81,3,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
3/26/2016,1,work,Rihanna Featuring Drake,1,1,7,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
3/26/2016,8,sorry,Justin Bieber,5,1,20,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
3/26/2016,24,the hills,The Weeknd,21,1,42,the weeknd,,the weeknd_the hills,The Weeknd-the hills
3/26/2016,45,can't feel my face,The Weeknd,39,1,40,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
3/26/2016,92,cheap thrills,Sia Featuring Sean Paul,91,81,4,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
4/2/2016,1,work,Rihanna Featuring Drake,1,1,8,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
4/2/2016,8,sorry,Justin Bieber,8,1,21,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
4/2/2016,25,the hills,The Weeknd,24,1,43,the weeknd,,the weeknd_the hills,The Weeknd-the hills
4/2/2016,50,can't feel my face,The Weeknd,45,1,41,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
